"dis_id","Disease","Fiscal Year","Sex","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease"
1,Diabetes,2001,M,80-84,224800,3810,43080,4730,12420
1,Diabetes,2001,M,85-89,111180,1720,19180,3220,10510
1,Diabetes,2001,M,90+,48100,640,6410,1590,7780
1,Diabetes,2002,F,1-4,669120,160,390,10,200
1,Diabetes,2002,F,5-9,943920,320,1600,0,80
1,Diabetes,2002,F,10-14,1034000,430,2940,10,120
1,Diabetes,2002,F,15-19,1013560,520,4190,10,250
1,Diabetes,2002,F,20-24,1062620,930,6410,10,310
1,Diabetes,2002,F,25-29,1060570,1610,9670,30,320
1,Diabetes,2002,F,30-34,1144540,2530,15300,30,440
1,Diabetes,2002,F,35-39,1294580,3930,24150,70,740
1,Diabetes,2002,F,40-44,1401880,5590,35530,150,1240
1,Diabetes,2002,F,45-49,1293940,7150,48110,260,1860
1,Diabetes,2002,F,50-54,1112990,8970,63370,480,2360
1,Diabetes,2002,F,55-59,935800,9750,76470,770,3000
1,Diabetes,2002,F,60-64,717880,8900,77970,1200,3600
1,Diabetes,2002,F,65-69,608140,8600,84440,1780,4560
1,Diabetes,2002,F,70-74,569620,8510,92050,2850,6710
1,Diabetes,2002,F,75-79,499510,7500,86720,4270,9960
1,Diabetes,2002,F,80-84,379840,5260,64260,5100,13370
1,Diabetes,2002,F,85-89,223730,2850,34640,4510,15010
1,Diabetes,2002,F,90+,140570,1550,17480,3820,19310
1,Diabetes,2002,M,1-4,701540,200,480,0,220
1,Diabetes,2002,M,5-9,992250,320,1800,0,130
1,Diabetes,2002,M,10-14,1085810,470,3120,10,170
1,Diabetes,2002,M,15-19,1067970,520,4520,10,570
1,Diabetes,2002,M,20-24,1095540,630,5740,20,820
1,Diabetes,2002,M,25-29,1068670,1060,7610,20,750
1,Diabetes,2002,M,30-34,1141120,2200,13120,60,920
1,Diabetes,2002,M,35-39,1300180,4090,23780,100,1310
1,Diabetes,2002,M,40-44,1407000,6850,39670,230,2030
1,Diabetes,2002,M,45-49,1293460,9630,60220,420,2790
1,Diabetes,2002,M,50-54,1112110,12110,84280,820,3660
1,Diabetes,2002,M,55-59,933330,13150,104530,1390,4550
1,Diabetes,2002,M,60-64,699530,11890,104490,2120,5410
1,Diabetes,2002,M,65-69,570740,10500,104270,3040,7000
1,Diabetes,2002,M,70-74,501330,9220,101880,4570,9640
1,Diabetes,2002,M,75-79,377080,6900,80170,5590,11920
1,Diabetes,2002,M,80-84,237790,3780,48340,5000,12620
1,Diabetes,2002,M,85-89,113470,1690,20730,3370,10390
1,Diabetes,2002,M,90+,51460,660,7350,1830,7920
1,Diabetes,2003,F,1-4,664620,190,390,0,160
1,Diabetes,2003,F,5-9,926500,300,1650,0,60
1,Diabetes,2003,F,10-14,1036480,500,3170,0,100
1,Diabetes,2003,F,15-19,1020390,500,4400,10,250
1,Diabetes,2003,F,20-24,1079720,910,6800,20,330
1,Diabetes,2003,F,25-29,1072880,1590,10330,20,310
1,Diabetes,2003,F,30-34,1137300,2570,16410,40,420
1,Diabetes,2003,F,35-39,1255950,3820,25480,80,700
1,Diabetes,2003,F,40-44,1415650,5530,38510,160,1240
1,Diabetes,2003,F,45-49,1324470,7070,52170,280,1830
1,Diabetes,2003,F,50-54,1145180,8800,67910,520,2490
1,Diabetes,2003,F,55-59,982570,9970,84410,810,3160
1,Diabetes,2003,F,60-64,749140,9280,85190,1340,3640
1,Diabetes,2003,F,65-69,620380,8660,90070,1870,4580
1,Diabetes,2003,F,70-74,570400,8090,96260,3050,6710
1,Diabetes,2003,F,75-79,501400,6990,91590,4470,9850
1,Diabetes,2003,F,80-84,395920,5450,71040,5480,13690
1,Diabetes,2003,F,85-89,227860,2830,37070,4810,15120
1,Diabetes,2003,F,90+,148350,1550,19510,4140,20470
1,Diabetes,2003,M,1-4,696740,210,500,0,220
1,Diabetes,2003,M,5-9,972740,350,1860,0,130
1,Diabetes,2003,M,10-14,1089390,520,3400,0,150
1,Diabetes,2003,M,15-19,1075290,440,4650,20,560
1,Diabetes,2003,M,20-24,1114320,650,6130,20,890
1,Diabetes,2003,M,25-29,1081540,1070,8020,20,810
1,Diabetes,2003,M,30-34,1132110,2190,13640,60,860
1,Diabetes,2003,M,35-39,1259990,3970,24700,110,1320
1,Diabetes,2003,M,40-44,1424190,6740,42470,230,1950
1,Diabetes,2003,M,45-49,1326820,9490,64800,470,2860
1,Diabetes,2003,M,50-54,1140750,11560,89080,900,3640
1,Diabetes,2003,M,55-59,977810,13060,114360,1490,4660
1,Diabetes,2003,M,60-64,732320,11800,114060,2250,5440
1,Diabetes,2003,M,65-69,582350,10270,111520,3250,6680
1,Diabetes,2003,M,70-74,506140,8980,107950,4780,9620
1,Diabetes,2003,M,75-79,386430,6580,86530,5940,11890
1,Diabetes,2003,M,80-84,250460,4070,54100,5730,13040
1,Diabetes,2003,M,85-89,116210,1680,22430,3680,10360
1,Diabetes,2003,M,90+,55090,670,8290,2050,8420
1,Diabetes,2004,F,1-4,665790,170,380,0,190
1,Diabetes,2004,F,5-9,908180,300,1650,0,80
1,Diabetes,2004,F,10-14,1030620,440,3310,0,80
1,Diabetes,2004,F,15-19,1034040,500,4670,10,230
1,Diabetes,2004,F,20-24,1089810,890,7010,20,310
1,Diabetes,2004,F,25-29,1085630,1500,10760,30,340
1,Diabetes,2004,F,30-34,1133730,2470,17420,30,380
1,Diabetes,2004,F,35-39,1225790,3790,26630,80,650
1,Diabetes,2004,F,40-44,1420280,5480,41380,150,1100
1,Diabetes,2004,F,45-49,1350990,7510,56000,290,1820
1,Diabetes,2004,F,50-54,1182760,9560,73340,480,2520
1,Diabetes,2004,F,55-59,1029100,11150,93470,820,3200
1,Diabetes,2004,F,60-64,780350,10080,92940,1290,3640
1,Diabetes,2004,F,65-69,632610,9510,96180,1910,4400
1,Diabetes,2004,F,70-74,570630,8920,101380,2950,6360
1,Diabetes,2004,F,75-79,503920,7680,96910,4440,9300
1,Diabetes,2004,F,80-84,406240,5620,77110,5650,13680
1,Diabetes,2004,F,85-89,236270,3090,40580,4960,15010
1,Diabetes,2004,F,90+,156310,1610,21750,4400,20660
1,Diabetes,2004,M,1-4,697730,220,480,0,200
1,Diabetes,2004,M,5-9,952660,350,1910,10,120
1,Diabetes,2004,M,10-14,1084670,420,3530,10,140
1,Diabetes,2004,M,15-19,1087670,510,4870,10,550
1,Diabetes,2004,M,20-24,1125950,620,6420,20,910
1,Diabetes,2004,M,25-29,1094330,1110,8430,30,790
1,Diabetes,2004,M,30-34,1124880,2230,14200,50,900
1,Diabetes,2004,M,35-39,1228890,4020,25600,100,1230
1,Diabetes,2004,M,40-44,1430320,7110,45490,240,2050
1,Diabetes,2004,M,45-49,1354290,9880,69000,490,2860
1,Diabetes,2004,M,50-54,1177280,12280,94930,870,3700
1,Diabetes,2004,M,55-59,1022740,14120,124550,1610,4740
1,Diabetes,2004,M,60-64,765540,12750,124720,2300,5620
1,Diabetes,2004,M,65-69,595190,11170,119480,3180,6460
1,Diabetes,2004,M,70-74,509250,9330,114000,4660,9060
1,Diabetes,2004,M,75-79,395420,7140,93440,5940,11300
1,Diabetes,2004,M,80-84,259900,4290,59260,5870,13010
1,Diabetes,2004,M,85-89,121700,1780,24700,3820,10390
1,Diabetes,2004,M,90+,58940,720,9440,2270,8590
1,Diabetes,2005,F,1-4,674060,170,400,0,150
1,Diabetes,2005,F,5-9,891750,270,1610,0,90
1,Diabetes,2005,F,10-14,1022550,450,3480,0,110
1,Diabetes,2005,F,15-19,1054230,510,4840,10,290
1,Diabetes,2005,F,20-24,1102500,890,7240,20,340
1,Diabetes,2005,F,25-29,1103510,1590,11300,20,350
1,Diabetes,2005,F,30-34,1131510,2700,18340,40,460
1,Diabetes,2005,F,35-39,1222630,3880,28240,80,650
1,Diabetes,2005,F,40-44,1405760,6010,44020,150,1240
1,Diabetes,2005,F,45-49,1383660,7880,60450,280,1920
1,Diabetes,2005,F,50-54,1223780,10120,79310,570,2470
1,Diabetes,2005,F,55-59,1075930,11850,102340,910,3170
1,Diabetes,2005,F,60-64,810710,10720,101500,1320,3710
1,Diabetes,2005,F,65-69,649570,9980,103190,1960,4310
1,Diabetes,2005,F,70-74,571200,8990,106570,2980,6150
1,Diabetes,2005,F,75-79,508410,7940,102710,4470,9110
1,Diabetes,2005,F,80-84,412740,6020,83040,5630,13070
1,Diabetes,2005,F,85-89,249310,3370,45610,4960,14700
1,Diabetes,2005,F,90+,163510,1850,24070,4590,20340
1,Diabetes,2005,M,1-4,706560,220,510,0,240
1,Diabetes,2005,M,5-9,936730,360,1940,0,120
1,Diabetes,2005,M,10-14,1075450,510,3670,0,150
1,Diabetes,2005,M,15-19,1108110,510,5130,20,590
1,Diabetes,2005,M,20-24,1139180,670,6780,20,930
1,Diabetes,2005,M,25-29,1110180,1120,8730,30,840
1,Diabetes,2005,M,30-34,1118360,2310,14720,70,910
1,Diabetes,2005,M,35-39,1222270,4260,26890,120,1150
1,Diabetes,2005,M,40-44,1417490,7480,48280,240,2000
1,Diabetes,2005,M,45-49,1386580,10360,73410,430,2850
1,Diabetes,2005,M,50-54,1218660,13290,101950,900,3810
1,Diabetes,2005,M,55-59,1068030,15250,134940,1630,4810
1,Diabetes,2005,M,60-64,797030,13590,135450,2450,5420
1,Diabetes,2005,M,65-69,612650,11830,128780,3280,6280
1,Diabetes,2005,M,70-74,512240,9790,120760,4550,8430
1,Diabetes,2005,M,75-79,406710,7380,100980,5880,11030
1,Diabetes,2005,M,80-84,268510,4480,64600,5970,12230
1,Diabetes,2005,M,85-89,130020,2050,28220,4070,10290
1,Diabetes,2005,M,90+,62490,770,10460,2410,8380
1,Diabetes,2006,F,1-4,682140,200,440,10,190
1,Diabetes,2006,F,5-9,881960,330,1640,0,100
1,Diabetes,2006,F,10-14,1002670,470,3560,0,100
1,Diabetes,2006,F,15-19,1062660,500,5040,10,270
1,Diabetes,2006,F,20-24,1105180,850,7370,20,310
1,Diabetes,2006,F,25-29,1116010,1540,11730,30,320
1,Diabetes,2006,F,30-34,1129310,2540,18990,40,420
1,Diabetes,2006,F,35-39,1208930,3740,29560,70,640
1,Diabetes,2006,F,40-44,1365610,5870,46060,190,1130
1,Diabetes,2006,F,45-49,1394490,8130,64780,290,1900
1,Diabetes,2006,F,50-54,1255420,10590,85130,550,2630
1,Diabetes,2006,F,55-59,1085150,12400,108240,1040,3090
1,Diabetes,2006,F,60-64,867050,11700,114120,1510,3830
1,Diabetes,2006,F,65-69,670320,10540,111060,2030,4460
1,Diabetes,2006,F,70-74,571060,9520,112030,3110,5850
1,Diabetes,2006,F,75-79,513420,8420,109260,4560,8910
1,Diabetes,2006,F,80-84,415850,6320,88620,5970,13160
1,Diabetes,2006,F,85-89,265390,3680,51790,5670,15440
1,Diabetes,2006,F,90+,171390,1860,26660,5240,21360
1,Diabetes,2006,M,1-4,715110,210,510,0,210
1,Diabetes,2006,M,5-9,924840,340,1960,0,100
1,Diabetes,2006,M,10-14,1057040,530,3800,0,150
1,Diabetes,2006,M,15-19,1116400,490,5370,20,540
1,Diabetes,2006,M,20-24,1141430,700,7090,20,940
1,Diabetes,2006,M,25-29,1120170,1160,9200,40,820
1,Diabetes,2006,M,30-34,1109410,2390,15210,50,830
1,Diabetes,2006,M,35-39,1207640,4490,28220,120,1180
1,Diabetes,2006,M,40-44,1375560,7680,50630,230,1870
1,Diabetes,2006,M,45-49,1396760,11060,78280,460,2850
1,Diabetes,2006,M,50-54,1248760,13970,108920,1020,3800
1,Diabetes,2006,M,55-59,1075180,16190,141600,1720,4810
1,Diabetes,2006,M,60-64,851200,15260,151100,2640,5600
1,Diabetes,2006,M,65-69,633590,13090,139870,3550,6280
1,Diabetes,2006,M,70-74,513990,10470,128400,4820,8050
1,Diabetes,2006,M,75-79,417880,7970,109120,6380,10820
1,Diabetes,2006,M,80-84,276590,5020,70640,6610,12400
1,Diabetes,2006,M,85-89,140480,2340,32380,4680,10850
1,Diabetes,2006,M,90+,66250,830,11640,2700,9200
1,Diabetes,2007,F,1-4,696200,180,440,0,160
1,Diabetes,2007,F,5-9,874690,300,1650,10,90
1,Diabetes,2007,F,10-14,985370,470,3590,0,90
1,Diabetes,2007,F,15-19,1069590,520,5250,20,250
1,Diabetes,2007,F,20-24,1107940,800,7520,20,300
1,Diabetes,2007,F,25-29,1133190,1400,11950,20,360
1,Diabetes,2007,F,30-34,1136600,2430,19460,40,430
1,Diabetes,2007,F,35-39,1199210,3620,30730,80,590
1,Diabetes,2007,F,40-44,1318490,5460,47090,200,1100
1,Diabetes,2007,F,45-49,1405180,7810,68130,380,1940
1,Diabetes,2007,F,50-54,1287920,9930,90190,590,2580
1,Diabetes,2007,F,55-59,1100410,11620,113080,1000,3260
1,Diabetes,2007,F,60-64,919240,11530,125430,1560,3860
1,Diabetes,2007,F,65-69,696120,9890,118990,2200,4440
1,Diabetes,2007,F,70-74,575250,8900,117610,3160,5740
1,Diabetes,2007,F,75-79,516280,7750,114480,4600,8560
1,Diabetes,2007,F,80-84,420250,5940,94160,6080,12420
1,Diabetes,2007,F,85-89,279700,3630,57550,6200,15720
1,Diabetes,2007,F,90+,178070,1800,28970,5490,21330
1,Diabetes,2007,M,1-4,731020,230,520,0,220
1,Diabetes,2007,M,5-9,917530,350,1980,10,100
1,Diabetes,2007,M,10-14,1038110,570,3920,10,130
1,Diabetes,2007,M,15-19,1124570,510,5600,20,560
1,Diabetes,2007,M,20-24,1141690,670,7370,30,960
1,Diabetes,2007,M,25-29,1138520,1170,9750,30,820
1,Diabetes,2007,M,30-34,1110790,2280,15520,50,790
1,Diabetes,2007,M,35-39,1196120,4320,29020,110,1140
1,Diabetes,2007,M,40-44,1325920,7360,51850,230,1780
1,Diabetes,2007,M,45-49,1407450,10950,82560,490,2840
1,Diabetes,2007,M,50-54,1282610,13650,115610,1060,3940
1,Diabetes,2007,M,55-59,1087920,15260,146510,1760,4880
1,Diabetes,2007,M,60-64,900760,15020,165090,2800,5680
1,Diabetes,2007,M,65-69,660660,12170,151160,3730,6480
1,Diabetes,2007,M,70-74,518800,9610,135120,4930,7610
1,Diabetes,2007,M,75-79,425760,7580,116400,6550,10500
1,Diabetes,2007,M,80-84,286310,4930,76760,6750,12070
1,Diabetes,2007,M,85-89,149830,2300,36400,5080,10990
1,Diabetes,2007,M,90+,69340,790,12780,2780,8960
1,Diabetes,2008,F,1-4,714080,170,400,10,150
1,Diabetes,2008,F,5-9,875830,300,1670,0,90
1,Diabetes,2008,F,10-14,969930,510,3700,0,80
1,Diabetes,2008,F,15-19,1074830,510,5440,10,250
1,Diabetes,2008,F,20-24,1117770,860,7700,20,340
1,Diabetes,2008,F,25-29,1157480,1500,12230,30,340
1,Diabetes,2008,F,30-34,1153610,2550,20090,40,430
1,Diabetes,2008,F,35-39,1194000,3810,31830,70,630
1,Diabetes,2008,F,40-44,1281580,5400,47860,170,1030
1,Diabetes,2008,F,45-49,1419530,7920,71360,370,1760
1,Diabetes,2008,F,50-54,1317650,10230,95110,610,2630
1,Diabetes,2008,F,55-59,1131640,11380,118090,1070,3250
1,Diabetes,2008,F,60-64,964980,11830,135850,1580,3940
1,Diabetes,2008,F,65-69,725890,10160,127530,2220,4520
1,Diabetes,2008,F,70-74,584260,8480,123460,3180,5800
1,Diabetes,2008,F,75-79,513290,7280,118670,4700,8250
1,Diabetes,2008,F,80-84,422030,5770,98710,6220,12420
1,Diabetes,2008,F,85-89,292670,3650,63330,6590,16000
1,Diabetes,2008,F,90+,182670,1780,31590,5890,22090
1,Diabetes,2008,M,1-4,749510,220,510,0,230
1,Diabetes,2008,M,5-9,919140,340,2040,0,120
1,Diabetes,2008,M,10-14,1020920,530,4020,10,140
1,Diabetes,2008,M,15-19,1130080,520,5910,10,510
1,Diabetes,2008,M,20-24,1152960,690,7520,30,820
1,Diabetes,2008,M,25-29,1164080,1200,10170,30,760
1,Diabetes,2008,M,30-34,1124670,2360,16110,60,790
1,Diabetes,2008,M,35-39,1188880,4410,29730,110,1030
1,Diabetes,2008,M,40-44,1286820,7400,52840,220,1640
1,Diabetes,2008,M,45-49,1425110,11080,86790,530,2700
1,Diabetes,2008,M,50-54,1314620,14090,121780,1040,3960
1,Diabetes,2008,M,55-59,1116130,15090,152360,1720,4890
1,Diabetes,2008,M,60-64,943690,15270,177640,2820,5920
1,Diabetes,2008,M,65-69,691860,12290,162250,3800,6360
1,Diabetes,2008,M,70-74,527640,9340,142850,5010,7500
1,Diabetes,2008,M,75-79,427430,7350,122340,6610,10200
1,Diabetes,2008,M,80-84,294400,4700,82820,7210,12180
1,Diabetes,2008,M,85-89,159230,2190,40510,5460,11510
1,Diabetes,2008,M,90+,71230,820,14100,3120,9440
1,Diabetes,2009,F,1-4,732980,170,380,0,170
1,Diabetes,2009,F,5-9,876820,310,1670,0,80
1,Diabetes,2009,F,10-14,952200,470,3710,0,90
1,Diabetes,2009,F,15-19,1072390,530,5650,10,240
1,Diabetes,2009,F,20-24,1134120,900,8000,10,290
1,Diabetes,2009,F,25-29,1173510,1640,12540,20,370
1,Diabetes,2009,F,30-34,1169370,2660,20640,50,410
1,Diabetes,2009,F,35-39,1192970,3940,33010,90,620
1,Diabetes,2009,F,40-44,1254400,5530,48880,180,980
1,Diabetes,2009,F,45-49,1426000,8340,74810,370,1840
1,Diabetes,2009,F,50-54,1344060,10850,99860,610,2600
1,Diabetes,2009,F,55-59,1169260,12710,124870,1020,3190
1,Diabetes,2009,F,60-64,1011180,13020,147590,1750,4010
1,Diabetes,2009,F,65-69,756730,10980,136550,2260,4550
1,Diabetes,2009,F,70-74,596530,9080,129650,3150,5560
1,Diabetes,2009,F,75-79,514960,7620,123310,4620,8000
1,Diabetes,2009,F,80-84,425240,5670,103620,6380,11880
1,Diabetes,2009,F,85-89,301600,3810,68550,6840,15740
1,Diabetes,2009,F,90+,193480,1830,35200,6320,22170
1,Diabetes,2009,M,1-4,769280,200,500,0,220
1,Diabetes,2009,M,5-9,920110,320,1990,0,90
1,Diabetes,2009,M,10-14,1000550,540,4110,10,90
1,Diabetes,2009,M,15-19,1129250,540,6150,0,490
1,Diabetes,2009,M,20-24,1169510,690,7780,20,830
1,Diabetes,2009,M,25-29,1182580,1300,10680,30,810
1,Diabetes,2009,M,30-34,1139270,2480,16720,40,840
1,Diabetes,2009,M,35-39,1183070,4520,30390,130,1010
1,Diabetes,2009,M,40-44,1257880,7840,54280,220,1560
1,Diabetes,2009,M,45-49,1432410,11900,91170,530,2600
1,Diabetes,2009,M,50-54,1342450,15240,128430,1030,3960
1,Diabetes,2009,M,55-59,1152760,16460,160540,1830,4820
1,Diabetes,2009,M,60-64,987560,16730,190980,2890,5770
1,Diabetes,2009,M,65-69,724110,13700,175120,4040,6380
1,Diabetes,2009,M,70-74,541080,9960,151280,4800,7290
1,Diabetes,2009,M,75-79,432290,7630,128480,6610,9780
1,Diabetes,2009,M,80-84,303050,4760,89010,7450,11860
1,Diabetes,2009,M,85-89,167120,2430,44580,5780,11460
1,Diabetes,2009,M,90+,76440,910,15990,3330,9420
1,Diabetes,2010,F,1-4,746470,170,360,0,170
1,Diabetes,2010,F,5-9,889390,330,1740,10,70
1,Diabetes,2010,F,10-14,934150,430,3600,0,80
1,Diabetes,2010,F,15-19,1065580,530,5840,10,230
1,Diabetes,2010,F,20-24,1153480,810,8190,20,340
1,Diabetes,2010,F,25-29,1190860,1520,12770,30,330
1,Diabetes,2010,F,30-34,1191800,2540,21080,40,450
1,Diabetes,2010,F,35-39,1192170,3630,33460,70,540
1,Diabetes,2010,F,40-44,1250930,5160,50100,150,940
1,Diabetes,2010,F,45-49,1409010,7640,76650,350,1700
1,Diabetes,2010,F,50-54,1373380,10140,103970,670,2630
1,Diabetes,2010,F,55-59,1207840,11800,131120,1090,3240
1,Diabetes,2010,F,60-64,1055540,12420,156990,1810,4080
1,Diabetes,2010,F,65-69,786770,10420,145370,2430,4800
1,Diabetes,2010,F,70-74,613950,8360,136180,3280,5570
1,Diabetes,2010,F,75-79,516960,6940,127110,4850,7930
1,Diabetes,2010,F,80-84,429880,5210,108170,6600,11830
1,Diabetes,2010,F,85-89,308860,3580,73190,7440,15900
1,Diabetes,2010,F,90+,207210,1910,39620,7290,24070
1,Diabetes,2010,M,1-4,784700,190,460,0,230
1,Diabetes,2010,M,5-9,932620,310,1970,0,80
1,Diabetes,2010,M,10-14,982130,560,4150,0,100
1,Diabetes,2010,M,15-19,1121650,490,6290,10,480
1,Diabetes,2010,M,20-24,1191920,630,7990,20,820
1,Diabetes,2010,M,25-29,1203650,1180,11080,50,790
1,Diabetes,2010,M,30-34,1161570,2290,16980,70,820
1,Diabetes,2010,M,35-39,1178870,4150,30710,110,1000
1,Diabetes,2010,M,40-44,1252180,7230,55370,240,1450
1,Diabetes,2010,M,45-49,1419690,11440,94310,520,2560
1,Diabetes,2010,M,50-54,1372700,14320,133880,1040,3810
1,Diabetes,2010,M,55-59,1191820,15880,168670,1870,4960
1,Diabetes,2010,M,60-64,1029820,16060,202650,3110,6090
1,Diabetes,2010,M,65-69,754520,12830,186130,4020,6490
1,Diabetes,2010,M,70-74,558340,9410,160160,5180,7310
1,Diabetes,2010,M,75-79,437430,7030,134090,6720,9360
1,Diabetes,2010,M,80-84,313270,4620,95590,7690,11890
1,Diabetes,2010,M,85-89,174950,2250,48570,6340,11820
1,Diabetes,2010,M,90+,83650,920,18410,3820,10040
1,Diabetes,2011,F,1-4,755250,140,360,0,170
1,Diabetes,2011,F,5-9,906810,350,1750,0,70
1,Diabetes,2011,F,10-14,925080,510,3670,0,90
1,Diabetes,2011,F,15-19,1053160,490,5910,10,220
1,Diabetes,2011,F,20-24,1173880,800,8420,20,330
1,Diabetes,2011,F,25-29,1203340,1540,12970,30,340
1,Diabetes,2011,F,30-34,1217300,2610,21550,60,460
1,Diabetes,2011,F,35-39,1200900,3720,34030,90,570
1,Diabetes,2011,F,40-44,1251880,5150,51460,160,870
1,Diabetes,2011,F,45-49,1383560,7570,77910,350,1630
1,Diabetes,2011,F,50-54,1395650,10130,107660,650,2570
1,Diabetes,2011,F,55-59,1247660,11820,136810,1140,3320
1,Diabetes,2011,F,60-64,1070920,11910,161060,1750,3980
1,Diabetes,2011,F,65-69,846040,10570,158760,2530,4720
1,Diabetes,2011,F,70-74,637030,8270,142820,3340,5600
1,Diabetes,2011,F,75-79,518720,6490,130570,4570,7450
1,Diabetes,2011,F,80-84,435060,5190,112760,6510,11470
1,Diabetes,2011,F,85-89,312490,3370,76780,7410,15430
1,Diabetes,2011,F,90+,220210,1830,43660,7580,24160
1,Diabetes,2011,M,1-4,793940,190,450,0,210
1,Diabetes,2011,M,5-9,951130,350,2010,0,100
1,Diabetes,2011,M,10-14,971670,500,4100,10,120
1,Diabetes,2011,M,15-19,1110110,500,6450,20,470
1,Diabetes,2011,M,20-24,1215980,670,8260,20,840
1,Diabetes,2011,M,25-29,1222170,1180,11350,40,830
1,Diabetes,2011,M,30-34,1187830,2420,17630,60,810
1,Diabetes,2011,M,35-39,1183380,4250,31030,100,960
1,Diabetes,2011,M,40-44,1253380,7130,56710,230,1460
